Branch Name,Address,Telephone ,Postal Code,NBHD Number,NBHD Name,Ward Number,Ward Region
Agincourt ,155 Bonis Ave,(416) 396-8943,M1T 3W6,118,Tam O'Shanter-Sullivan ,40,Scarborough-Agincourt 
Albert Campbell ,496 Birchmount Rd,(416) 396-8890,M1K 1N8,120,Clairlea-Birchmount ,35,Scarborough-Southwest
Albion,1515 Albion Rd,(416) 394-5170,M9V 1B2,2,Mount Olive-Silverstone-Jamestown,1,Etobicoke North
Alderwood,2 Orianna Dr,(416) 394-5310,M8W 4Y1,20,Alderwood,6,Etobicoke Lakeshore
Amesbury Park,1565 Lawrence Ave W,(416) 395-5420,M6L 1A8,30,Brookhaven-Amesbury ,12,York South-Weston
Annette Street,145 Annette St.,(416) 393-7692,M6P 1P3,90,Junction Area ,13,Parkdale-High Park
Armour Heights,2140 Avenue Rd ,(416) 395-5430,M5M 4M7,39,Bedford Park-Nortown ,16,Eglinton-Lawrence
Barbara Frum,20 Covington Rd,(416) 395-5440,M6A 3C1,32,Englemount-Lawrence ,15,Eglinton-Lawrence
Bayview,2901 Bayview Ave ,(416) 395-5460,M2K 1E6,52,Bayview Village ,24,Willowdale
Beaches,2161 Queen St E,(416) 393-7703,M4L 1J1,63,The Beaches ,32,Beaches-East York
Bendale,1515 Danforth Rd,(416) 396-8910,M1J 1H5,127,Bendale,38,Scarborough Centre
Black Creek,"1700 Wilson Ave, Unit 63-64",(416) 395-5470,M3L 1B2,26,Downsview-Roding-CFB,7,York West
Bloor Gladstone,1101 Bloor St W,(416) 393-7674,M6H 1M7,83,Dufferin Grove ,18,Davenport
Brentwood,36 Brentwood Rd N,(416) 394-5240,M8X 2B5,15,Kingsway South ,5,Etobicoke- Lakeshore
Bridlewood,2900 Warden Ave ,(416) 396-8960,M1W 2S8,117,L'Amoreaux,39,Scarborough-Agincourt
Brookbanks,210 Brookbanks Dr,(416) 395-5480,M3A 2T8,45,Parkwoods-Donalda,34,Don Valley East
Burrows Hall,1081 Progress Ave,(416) 396-8740,M1B 5Z6,132,Malvern,42,Scarborough-Rouge River
Cedarbrae,545 Markham Rd,(416) 396-8850,M1H 2A1,137,Woburn,43,Scarborough East
Centennial,578 Finch Ave W,(416) 395-5490,M2R 1N7,35,Westminster-Branson,10,York Centre
City Hall,100 Queen St W,(416) 393-7650,M5H 2N3,76,Bay Street Corridor,27,Toronto Centre-Rosedale
Cliffcrest,3017 Kingston Rd,(416) 396-8916,M1M 1P1,123,Cliffcrest ,36,Scarborough Southwest
College Shaw,766 College St,(416) 393-7668,M6G 1C4,80,Palmerston-Little Italy ,19,Trinity-Spadina
Danforth Coxwell,1675 Danforth Ave,(416) 393-7783,M4C 5P2,64,Woodbine Corridor,32,Beaches-East York 
Davenport,1246 Shaw St,(416) 393-7732,M6G 3P1,94,Wychwood ,21,St. Paul's 
Dawes Road,416 Dawes Rd ,(416) 396-3820,M4B 2E8,54,O'Connor-Parkview,31,Beaches-East York 
Deer Park,40 St. Clair Ave E,(416) 393-7657,M4T 1M9,98,Rosedale-Moore Park,22,St. Paul's 
